"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"2100697","通常","入庫済","2021/12/29","(有)宮地小型部品商会","ﾌｧﾐﾘｱ","DBF-BVY12","VY12-530487","201309","ﾎﾜｲﾄ系","50000","熊本","400","て","7146","有","有","有","有","有","無","","","","091800H21000697","331256"
"2200001","通常","入庫済","2022/01/05","個人","ﾜｺﾞﾝR","CBA-MH21S","MH21S-378671","200506","ﾎﾜｲﾄﾊﾟｰﾙ系","15000","熊本","580","て","6626","有","有","無","無","無","無","","","","091800H22000001","340101"
"2200037","通常","入庫済","2022/01/24","熊本県県南広域本部","AD","CBE-VY11","VY11-708885","200609","ﾎﾜｲﾄ系","40000","熊本","400","た","8375","無","抹消原本","無","無","有","無","","","","091800H22000037","340135"
"2200023","通常","入庫済","2022/01/17","中山車両整備工場","ｱｸﾃｨ","V-HA3","HA3-2324868","199701","ﾎﾜｲﾄ系","30000","熊本","41","も","6544","無","抹消原本","無","無","無","無","","","","091800H22000023","340121"
"2100683","通常","入庫済","2021/12/24","全損残価評価システム","ﾊｲｾﾞｯﾄ","EBD-S321V","S321V-0152625","201207","ﾎﾜｲﾄ系","22000","熊本","480","せ","7767","有","有","無","無","無","有","","","","091800H21000683","331242"
"2200008","通常","入庫済","2022/01/12","個人","ﾀﾝﾄ","CBA-L350S","L350S-0256317","200701","ﾋﾟﾝｸ系","15000","熊本","580","そ","7570","有","有","無","無","無","無","","","","091800H22000008","340107"
"2100692","通常","入庫済","2021/12/27","日産人吉　営業","ﾐﾗ･ｶｽﾀﾑ","DBA-L275S","L275S-0031145","200705","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","鹿児島","583","す","1965","有","有","無","無","無","有","","","","091800H21000692","331250"
"2200041","通常","入庫済","2022/01/24","株式会社　ベストワン","ﾐﾗ･ﾊﾞﾝ","GBD-L275V","L275V-0001386","200801","ｼﾙﾊﾞｰ系","30000","熊本","480","き","1491","有","有","無","無","無","無","","","","091800H22000041","340139"
"2100685","通常","入庫済","2021/12/24","(株) ゼロワン　コーダSS","ｵｯﾃｨ","DBA-H91W","H91W-0312498","200607","ｼﾙﾊﾞｰ系","30000","熊本","580","け","2090","有","有","無","無","無","有","","","","091800H21000685","331243"
"2200043","破砕ストップ","入庫済","2022/01/25","熊本県県南広域本部","ｼﾞﾑﾆｰ","ABA-JB43W","JB43W-400179","200808","ﾎﾜｲﾄ系","40000","熊本","501","に","5401","無","抹消原本","無","無","有","無","","","","091800H22000043","340141"
